Country,Last ,Previous ,Reference,Unit
Liberia,25.87,25.73,01/12/2021,celsius
Indonesia,25.99,26.18,01/12/2021,celsius
Cuba,26.05,26.43,01/12/2021,celsius
Belize,26.15,26.38,01/12/2021,celsius
Guyana,26.15,26.52,01/12/2021,celsius
St Vincent and the Grenadines,26.17,26.33,01/12/2021,celsius
Nicaragua,26.19,26.33,01/12/2021,celsius
Malaysia,26.46,26.67,01/12/2021,celsius
Grenada,26.49,26.67,01/12/2021,celsius
Trinidad and Tobago,26.54,26.78,01/12/2021,celsius
Suriname,26.56,26.9,01/12/2021,celsius
Guinea,26.59,26.33,01/12/2021,celsius
Philippines,26.6,26.64,01/12/2021,celsius
Barbados,26.64,26.8,01/12/2021,celsius
Saudi Arabia,26.8,26.18,01/12/2021,celsius
Virgin Islands,26.83,26.97,01/12/2021,celsius
Eritrea,26.87,26.38,01/12/2021,celsius
Somalia,26.88,27.08,01/12/2021,celsius
Dominica,26.91,27.03,01/12/2021,celsius
Thailand,26.91,27.43,01/12/2021,celsius
Micronesia,27.01,27.34,01/12/2021,celsius
St Lucia,27.04,27.18,01/12/2021,celsius
Seychelles,27.07,27.26,01/12/2021,celsius
Sierra Leone,27.19,27.01,01/12/2021,celsius
Antigua and Barbuda,27.33,27.44,01/12/2021,celsius
American Samoa,27.34,27.52,01/12/2021,celsius
Ivory Coast,27.37,27.19,01/12/2021,celsius
Sri Lanka,27.41,27.66,01/12/2021,celsius
Cambodia,27.44,27.9,01/12/2021,celsius
Kiribati,27.49,27.49,01/12/2021,celsius
Palau,27.56,27.72,01/12/2021,celsius
Samoa,27.56,27.75,01/12/2021,celsius
St Kitts and Nevis,27.61,27.73,01/12/2021,celsius
Northern Mariana Islands,27.65,27.84,01/12/2021,celsius
Nigeria,27.67,27.43,01/12/2021,celsius
Chad,27.72,27.37,01/12/2021,celsius
Maldives,27.74,27.78,01/12/2021,celsius
Singapore,27.74,28.02,01/12/2021,celsius
Guam,27.88,28.02,01/12/2021,celsius
Kuwait,27.89,26.89,01/12/2021,celsius
Cayman Islands,27.99,28.3,01/12/2021,celsius
Togo,28.05,27.82,01/12/2021,celsius
Marshall Islands,28.07,28.43,01/12/2021,celsius
Niger,28.09,27.85,01/12/2021,celsius
Oman,28.1,27.82,01/12/2021,celsius
Sudan,28.17,27.42,01/12/2021,celsius
Ghana,28.3,28.1,01/12/2021,celsius
Djibouti,28.46,28.43,01/12/2021,celsius
Benin,28.7,28.43,01/12/2021,celsius
Guinea Bissau,28.76,28.71,01/12/2021,celsius
Gambia,29,29.03,01/12/2021,celsius
Aruba,29.03,29.37,01/12/2021,celsius
United Arab Emirates,29.08,28.38,01/12/2021,celsius
Bahrain,29.15,28.15,01/12/2021,celsius
Mauritania,29.3,29.1,01/12/2021,celsius
Qatar,29.42,28.45,01/12/2021,celsius
Senegal,29.63,29.56,01/12/2021,celsius
Mali,29.78,29.4,01/12/2021,celsius
Burkina Faso,30.01,29.63,01/12/2021,celsius
