index,Continent,Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,Winter
37,Africa,Djibouti,254,249,279,279,310,237,236,276,282,310,291,276,3279,274
318,South America,Peru,223.2,189.3,244.9,294,288.3,291,291.4,310,297,303.8,309,291.4,3333.3,275
137,Asia,Oman,268.6,244.8,278.3,292.5,347.4,325.7,277.7,278.6,303.9,316.9,291.9,267,3493.3,276
321,South America,Uruguay,294.9,230.6,222.8,179.6,164.2,129.7,139.7,164.4,182.3,239,248.9,285.3,2481.4,277
323,South America,Venezuela,300,279,286,257,243,253,301,279,272.5,283,258,273,3284,277
80,Africa,Botswana,280.6,261.5,264.4,260.5,284.2,260,292.4,313.6,308.4,295.4,265.5,285.2,3371,278
7,Africa,Benin,279,257.6,260.4,255,272.8,252,223.2,195.3,213,275.9,282,279,3045.2,280
14,Africa,Cameroon,286.4,258.7,235.4,195.5,195.4,165.7,128,127.8,139,184,264.1,291.4,2471.4,281
9,Africa,Togo,285,254,270,241,261,219,168,131,161,273,284,279,2826,283
42,Africa,Algeria,297.6,275.5,322.4,327,328.6,306,356.5,331.7,288,310,285,272.8,3686,286
29,Africa,Niger,297.6,263.2,269.7,252,279,267,257.3,235.6,235.6,282.6,282,279,3203.2,287
27,Africa,Burkina Faso,287,263,264,256,277,264,240,223,217,273,288,284,3136,287
289,North America,El Salvador,301,277,294,243,220,174,239,257,180,211,267,294,2957,288
38,Africa,Mali,292,276,292,263,274,266,254,223,242,283,287,287,3239,289
59,Africa,South Sudan,300.7,269.7,260.4,228,254.2,237,176.7,192.2,210,229.4,267,303.8,2929.1,291
293,South America,Argentina,297.6,257.6,235.6,219,195.3,168,182.9,229.4,225,282.1,294,285.2,2871.7,293
98,Africa,Central African Republic,289.6,275,270.6,248.1,255.7,216.9,190.7,186.5,210,267.2,290.3,297.4,2998,293
110,Africa,Egypt,294.5,279.7,316.2,315,356.5,366,384.4,375.1,336,328.6,300,291.4,3943.4,296
64,Africa,Ethiopia,294.2,276.7,279.9,277.2,303.2,230.1,165.5,166.5,248.7,291.1,292.8,303.5,3129.4,297
26,Africa,Eritrea,304.7,289.1,300.7,300.5,298.5,271.5,217.9,220.1,260.4,301,292.5,299.1,3361,299
56,Africa,Kenya,319,280,282,279,307,297,279,310,321,316,282,310,3582,304
21,Africa,Nigeria,307,274,260,220,208,201,151,127,171,242,294,313,2768,305
95,Africa,Madagascar,305,285,296,302,306,277,291,298,307,324,313,306,3610,308
31,Africa,Chad,316.2,291.2,300.7,300,313.1,300,254.2,226.3,261,306.9,312,319.3,3500.9,316
25,Africa,Sudan,341,311,310,330,300,300,279,279,300,310,330,341,3737.1,338
330,Oceania,Australia,356.5,314.9,295.5,246,211.7,180.6,188.4,219.8,232.4,299.8,320.4,359.4,3229.5,346
111,Africa,Namibia,353,300,312,306,304,287,305,323,319,343,348,348,3870,350
77,Africa,South Africa,352.9,298.7,297.5,283.5,290.5,270.3,289.8,307.3,300.2,328.9,345.2,367,3731.8,356
312,South America,Chile,353.4,305.1,319.3,312,306.9,297,310,316.2,321,356.5,363,365.8,3926.2,361
